,sentence0,sentence1
1635,a find it rather odd that people are already trying to tie the commissions hands in relation to the proposal for a directive while at the same calling on it to present a green paper on the current situation with regard to optional and supplementary health insurance schemes,a find it a little strange to try now to force the commission to a motion for a resolution and ask him at the same time to draw up a green paper on the current state of voluntary insurance and supplementary sickness insurance
1636,a stress this point because the market cannon regulate everything which is why competition is not completely unrestricted nor should it be,a stress this point because the market cannon solve all and in this sense there cannon be any competition without limits
1637,Without doubt it was better to have no agreement at all than a poor one and it is true that in this instance the american proposal was a third-rate proposals and one which was completely unacceptable to europe,"Undoubtedly, was it not to have an agreement better than to have an agreement which is bad and in this case the american proposal was a proposal with the reduction completely unacceptable for europe"
1638,it is gratifying that parliament has succeeded in producing a large majority in favour of more openness.,We must welcome the fact that parliament has managed to gather a large majority in favour of greater transparency
1639,"On the contrary, the influence of the national democracies is being reduced by the further restriction of the right of veto and by the fact that the european parliament is being given more power.","On the contrary, the power of the national democracies decreases in force of limiting increasingly the right of veto and to give ever more power in Parliament of the EU."
1640,The european council will also discuss the state of progress of the accession negotiations and hence of the enlargement,The european council will also discuss the state of progress of the negotiations on membership and therefore of the p.
1641,"a call on prague to respond to this signal this challenge, this plea for dialogue to grant our request and to ensure together with our house that this legacy of a nationalist era can be consigned to the past",a invite prague to seize this this invitation this request for dialogue to respond and to ensure that together with this house these relics of a nationalist age can be abandoned
1642,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who refuse closer cooperation to enjoy the same freedom of movement that passengers in the back seat of a car
1643,That was changed in the face of criticism especially from ireland and france and a different spin has now been put on it by the british chancellor of the exchequer it is now being portrayed as a user charge for all including British lorry drivers,Given the criticisms particularly those of ireland and france the british chancellor of the exchequer has given a new interpretation it would now a tax for all users including the lorry drivers in the UK.
1644,We have heard that the previous council Presidency first restructured and then scrapped the ministry for quality.,We have heard that the previous presidency was first restructured can dismantled the Ministry of equal opportunities
1645,"Finally, in a words the fourth pillar devoted to equal opportunities reinforces the integrated approach to equality through gender mainstreaming and through specific guidelines.","Finally, in a words the fourth pillar dedicated to equal opportunities reinforces the integrated approach to equality by the mainstreaming and by specific guidelines."
1646,This rule can be applied equally to all recreational but dangerous drugs when no one but the person consuming the drug is likely to be affected,This rule can also apply to all drugs récréationnelles but dangerous as far as the consumer of drugs should be the only to run risks.
1647,When we are faced with a potential risk it is important to apply the precautionary principle,When we are confronted with a potential risk it is important to implement the precautionary principle
1648,We welcome the arrangements proposed in this respect by the Preparatory committee and adopted by the general assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the special session in september 2001.,We welcome the proposed provisions in this respect by the preparatory committee and decided by the general assembly as regards the way accreditation non-governmental organisations the preparation process and the special session in september 2001.
1649,above all when a one-man company or a company with fewer than 250 employees has a project it should not need to provide 1209 loan guarantees in the form of land to receive financing; it should also be possible for it to be funded on the basis of a good idea,above all when a business or a society with fewer than 250 a project it must be possible for a means not only with a guarantee to 12035 but also on the basis of a good idea
1650,a step in the right direction for which the european parliament has been striving for a long time now is the creation of a provisional unit for judicial cooperation,The creation of a provisional unit of legal cooperation constitutes a step in the right direction not to which the european parliament aspires for a long time already
1651,(Applause),a already answered on this point and a subscribe completely so that he said on the need for improving the public debate considerably a will not return on what a said but it is true that too often the citizens feel foreign with decisions which are made in authorities that they do not know
1652,These objectives the main one and the secondary ones will be the touchstone by which the concrete proposals submitted by the Commission must be judged,These objectives the secondary primary objective and objectives will represent the stone of key enabling us to consider the concrete proposals presented by the commission
1653,When we are faced with a potential risk it is important to apply the precautionary principle,When we are faced with a potential risk it is important to implement the precautionary principle
1654,From the first discussions on this dossier which were held at european level at the initiative of the european parliament the commission has given a commitment to the member States to pursue a course of action designed to develop what we might call a european police culture grounded in the highest standards of duty respect for the rights and freedoms of our citizens and efficiency in the fight against crime,"Since the first on this issue, which took place at the european level on the initiative of the european Parliament, the commission is in relation to the member states to promote an action intended to what we could consider as a culture on the standard them in the matter of respect for the rights and freedoms of the citizens and effectiveness in the fight against crime"
1655,Mr president ladies and gentlemen a should like to say a few words on the joint resolution which will of course be passed,Mr president ladies and gentlemen a would like to speak on the joint resolution that of course we will
1656,These objectives the main one and the secondary ones will be the touchstone by which the concrete proposals submitted by the Commission must be judged,These objectives the objective of primary and secondary objectives the cornerstone of allowing us to judge the concrete proposals by the Commission.
1657,on the situation in burma,on the situation in burma
1658,While withdrawing the resolution however I express the conviction that this parliament would have made its voice heard better if in anticipation of the council of nice it had devoted a specific and separate resolution to these important and difficult topics of the intergovernmental conference instead of dealing with them in a single resolution that also embraces all the other points on the council agenda,By withdrawing our resolution a express however the conviction that our parliament would have better done to hear its voice while devoting for conseil of nice a resolution specific and distinct with the so important and so difficult topics to the intergovernmental conference rather than to treat them within the framework of one only resolution also including all the other points of about an agenda of the council
1659,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who refuse and enjoy the same freedom of movement as the passengers out of a car
1660,a know that in france they have had whole herd slaughter and this does not seem to be the best way forward.,a know that in france the principle of the whole and that it does not seem to be the best way to combat this phenomenon
1661,action is needed quickly which is why we decided to include this item on the agenda,There is urgency and that is why we have decided to put this item on the agenda
1662,That is what we have done we have avoided a budgetary crisis by going to Article 2726 the financial perspective has been maintained even though we have used the flexibility instruments,That is what we have done we have avoided a budgetary crisis by returning to Article 2726 the financial perspective has been maintained even if we have used the flexibility instruments
1663,a step in the right direction for which the european parliament has been striving for a long time now is the creation of a provisional unit for judicial cooperation,The establishment of a provisional unit of judicial cooperation is a step in the right direction not to which the european parliament wants a long time ago
1664,a would urge the french presidency to do their utmost to overcome this divided because it is extremely destructive,a appeal urgently to the french presidency to do everything in its power to bridge this gap particularly destructive
1665,in the last three weeks progress has been made in three major areas,These last weeks three significant progresses were made
1666,This is no time for the faint-hearted,it is not the moment to be hesitant
1667,One could indeed wish for more and for improvement but a honestly believe that we have made a good start,We can indeed want more and better but quite honestly that a believe this is a good start
1668,a should also have liked the court of auditors report to have been a little more user-friendly and to have provided a number of clear recommendations for example one or two per chapter,a would also have liked to see the report of the court of auditors a little more user-friendly and if he had presented a few clear recommendations - for example one or two recommendations by chapter
1669,"Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits","Secondly, we must say no' to the concept being recognised that the big bang but at the same time a large group of countries because this would be in contradiction with the principle of the admission of each country on its merits"
1670,The only instance in which no tax is levied is when the supplier is in a non- country and the recipient is in a member state of the p.,The only way for which no tax is not yet seen is that of supply in the european community from third countries
1671,(Applause),a have already replied to this point and a agree entirely with what he said about the need to improve considerably the public debate a will not repeat what a said but it is true that all too often citizens feel alienated to decisions that are taken in bodies that they do not know
1672,Given this situation there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment,Given these realities the need for greater involvement and greater efficiency in the fight against poverty and underdevelopment is essential
1673,- by party has serious reservations about community law applying to the sale of consumer products as against applying the concept of mutual recognition of standards,My party has serious reservations about the regulation of the sale of consumer goods through community legislation as it expresses reservations about the concept of mutual recognition of standards
1674,Given this situation there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment,Faced with this situation the need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment is essential
1675,"Therefore, a also believe that this reconciliation is sustainable but that the government which has very courageously found a solution to the university issue and to many other issues needs visible signs of its success and powerful support else peace throughout the region will be under threat",That is why a also believe that this reconciliation can take however the government which has very courageously found a solution to the issue of universities and many other problems needs visible signs of success and a strong support otherwise the peace threatened in the region as a whole
1676,The only instance in which no tax is levied is when the supplier is in a non- country and the recipient is in a member state of the p.,The only case for which no tax is a delivery is still seen in the european community from a third country
1677,it is a matter of the utmost importance and yet has curiously attracted very little public attention,The task which is however capital did not arouse an lively interest on behalf of the public yet
1678,"He will stand trial on 8 january on charges of having attended a meeting of the tunisian opposition in France, which he denies",it is on trial on 8 january is accused him for having taken part in a meeting of tunisian opponents in france which also it denies
1679,When we are faced with a potential risk it is important to apply the precautionary principle,When we are faced with a potential risk it is important to put into practice the principle of precautions
1680,"B5-0794/2000, by or medina ortega or Linkohr and or naval on behalf of the group of the Party of European Socialists, on the kidnap in colombia of a spanish jesuit engaged in negotiations with the guerillas;","(B5-0794 / 2000 by or medina ortega Linkohr, on behalf of the group of the party of european socialists and the group of the party of european socialists from a Spanish in the negotiations with the"
1681,We have heard that the previous council Presidency first restructured and then scrapped the ministry for quality.,We have heard that the previous presidency first restructured then dismantled the ministry for equal opportunities
1682,Worst of all a believe is having to issue a warning that a court judgment in their favour may just be a set of comforting words and make no real difference in their lives,in my view however there is nothing worse than to have to inform people that a ruling in their favour can only be a series of reassuring words and have no practical effect on their existence
1683,". (ES) or President, enlargement is essential for the construction of a strong and united european continent","(ES) Mr President, enlargement is essential for the construction of a strong and united european continent"
1684,either we are in a club or we are out of it and it is particularly important that we accept this,"either we are part of the club, or we are not and we must therefore we bow to that decision."
1685,That is a shameful state of affairs when we consider that the of itself is a champion of modernised business practice,This is a disgrace when you think that the european union raises a champion of the modernisation of economic life
1686,That is what we have done we have avoided a budgetary crisis by going to Article 2726 the financial perspective has been maintained even though we have used the flexibility instruments,it is what we did we avoided a budgetary crisis while returning in article 2726 the financial perspectives were maintained even if we used the flexibility instruments
1687,Declarations must be followed by concrete steps to trace freeze seize and confiscate the proceeds of crime,The declarations must be followed concrete actions to identify freeze seize and confiscate the products of the crime
1688,Mr president ladies and gentlemen a should like to say a few words on the joint resolution which will of course be passed,Mr president ladies and gentlemen a would like to speak on the joint resolution that obviously we shall vote.
1689,a would urge the french presidency to do their utmost to overcome this divided because it is extremely destructive,a urge the french presidency to should do everything in its power to bridge the gap particularly destructive.
1690,it is a matter of the utmost importance and yet has curiously attracted very little public attention,"The most urgent task, which is however has not yet a lively interest on the part of the public"
1691,"a call on prague to respond to this signal this challenge, this plea for dialogue to grant our request and to ensure together with our house that this legacy of a nationalist era can be consigned to the past","a invite prague to seize this sign this invitation, this request for dialogue to follow up and to ensure that together with this house these relies an era nationalist may be abandoned"
1692,vastly and most controversially the committee strongly called for the use of a fast-track procedure to implement this legislation,"Finally, and this is something which is most controversial the committee has called vehemently to use the fast-track procedure to implement this legislation"
1693,There is of course one crucial events namely that a start has been made with category four and with looking at ways how we will deal with it but it is not yet entirely clear whether we have managed to resolve this partly because the council refuses to have sufficient input in the attendant thought processes,There is of course a very important point is the fact that we started in category four with its approach but we do not yet know very well if we managed to resolve the issue not least because the council does not wish to participate sufficiently in the reflection
1694,"Therefore, a also believe that this reconciliation is sustainable but that the government which has very courageously found a solution to the university issue and to many other issues needs visible signs of its success and powerful support else peace throughout the region will be under threat","This is why a also think that this reconciliation can hold however the government which very courageously found a solution with the question of the universities and many other problems, needs visible signs of the success as well as strong support under penalty of seeing the peace threatened as a whole of the area"
1695,This is also the position advocated by the rapporteur and it is shared by the european People' s party,it is the position defended by the rapporteur and shared by the european peoples party
1696,approval of the minutes of the previous sitting,approval of the minutes of the previous session
1697,parliament accepted the oral amendment,the House accepts the oral amendment)
1698,"Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the of as a whole basically depend - and denmark demonstrated this - on dismantling the social and democratic deficits of european policy","Thirdly, the acceptance of enlargement and its positive prospects for the various countries and the of as a whole dependent a the example of denmark is there for us to show it a elimination on social and democratic deficits for european policy"
1699,That was changed in the face of criticism especially from ireland and france and a different spin has now been put on it by the british chancellor of the exchequer it is now being portrayed as a user charge for all including British lorry drivers,Faced with the criticism especially those in ireland and france the british chancellor of the exchequer gave a different interpretation it is now a tax for all users including the british drivers of heavy goods vehicles
1700,"The resolution on Nice, voted today does not reflect this",The resolution on the nice summit which just does not
1701,The only instance in which no tax is levied is when the supplier is in a non- country and the recipient is in a member state of the p.,The only case for which no tax is still being of is one of a - in the change from a third country
1702,the sitting was suspended at 2.06 p.m. and resumed at 3 p.m.,"the meeting, stopped with 14:06, is taken again at 3 p.m."
1703,a know that in france they have had whole herd slaughter and this does not seem to be the best way forward.,a know that in france the principle of demolition of the whole herd was applied and that does not seem the best means of fighting this phenomenon.
1704,Question to 6 by (H-0886/00):,Question to 6 by 7e-0886 / 0044
1705,is long ago as 1996 the european parliament came out in favour of a ban on the use of meat-and-bone meal throughout the European Union in accordance with the precautionary principle - if only.,"in 19963 the european parliament decided in favour of a ban on the use of meat and bone meal in the european Union, in accordance with the precautionary principle if only we had listened to"
1706,Knowledge of foreign languages is accepted as a necessary precursor to mobility,it is agreed that the knowledge of foreign languages is a necessary precondition for mobility
1707,a also voted against a text which calls for the incorporation of the charter of fundamental rights into the eventual treaty of nice,a have also voted against a text which asks for the incorporation of the charter of fundamental rights in the future treaty which will be adopted at nice
1708,Spain has done a magnificent job in turning round the difficult neighbourly relations which europe and North africa and pain and morocco have suffered during the course of history.,Spain has developed a remarkably positive way the difficult neighbourhood that has always existed between europe and north africa and between pain and morocco
1709,The very worst situation is when the women concerned also come from distant countries having taken the work on out of desperation because they have no other way of continuing to provide for themselves,"The situation is worsening, when it comes to women distant countries which have accepted this work by necessity and which have no alternative to continue to meet their basic needs"
1710,This is no time for the faint-hearted,That is not the time to take hesitant
1711,The european council will also discuss the state of progress of the accession negotiations and hence of the enlargement,The european council will also discuss the progress of the accession negotiations and therefore of enlargement
1712,"of we want to help Indonesia we must act now with money and deeds, not merely words","of we want to help Indonesia, we must intervene now with money and concrete actions and not only with words"
1713,"The council of Europe, along with the court of human rights has a wealth of experience of such forms of supervision and we can build on these",Just as the court of human rights the council of europe also has a solid experience in this regard such forms of control and we can take as a basis.
1714,The other viewpoint illustrated by the rapporteur s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection,The other point of view illustrated by the comments by the rapporteur and a number of colleagues is to promote the regulations and codes of conduct for dialogue between a good supply of guaranteeing the provision of a good practices and to counter the risk of discriminatory practices and a series of risks and customers.
1715,"Finally, in a words the fourth pillar devoted to equal opportunities reinforces the integrated approach to equality through gender mainstreaming and through specific guidelines.","Finally, in a words the fourth pillar devoted to equal opportunities reinforces the integrated approach of equality by gender mainstreaming and specific guidelines"
1716,From the first discussions on this dossier which were held at european level at the initiative of the european parliament the commission has given a commitment to the member States to pursue a course of action designed to develop what we might call a european police culture grounded in the highest standards of duty respect for the rights and freedoms of our citizens and efficiency in the fight against crime,Since the first thoughts on this issue which took place at european level on the initiative of the european parliament the commission is committed to the member States to promote action to develop what we could consider a european police culture based on the highest standards in terms of ethics respect for citizens rights and freedoms and effectiveness in the fight against crime
1717,it is this kind of future a would also like to see in the other countries within the European union,it is a policy of this type that a wish to other states of the european union
1718,action is needed quickly which is why we decided to include this item on the agenda,There is urgency and that is why we decided to put this item on the agenda
1719,Mr president I would like to focus in my speech on mrs Lalumière' s report which a think is clearly worded and well put together,Mr president in my speech a shall focus on the report by mrs LalumiÃšre report which a think is well thought-out and clearly formulated
1720,This is no time for the faint-hearted,This is not the time to be hesitant
1721,"Do you think that the austrian model, i.e. bilateral majority resolutions will be used in future as a way of passing resolutions which bypass the european institutions and of forming a new institution or a new group in order to circumvent unanimity in the council",Do you think that the model of the g-7 - namely the majority - will be in the future as a means of taking in ignoring the European institutions and to a new institutions or a new group to be able to bypass the rule of unanimity in the council
1722,This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions,it is our priority fight so that the affirmation of fundamental rights is implemented in political choices
1723,it is this kind of future a would also like to see in the other countries within the European union,it is an evolution of this type which a wish in the other states of the european union
1724,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who refuse enhanced cooperation enjoy the same freedom of movement that passengers in the back seat of a car
1725,- by party has serious reservations about community law applying to the sale of consumer products as against applying the concept of mutual recognition of standards,"My party expresses serious reservations about the regulation of the sale of consumer products by means of community legislation, as it makes reservations about the concept of the mutual recognition of standards"
1726,it must genuinely be a centre for coordinating the network of national agencies which in turn must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.,it must be true brain of coordination of the network of national agencies which in turn will have to activate and coordinate a network of centres of excellence in food safety at regional level
1727,approval of the minutes of the previous sitting,approval of the minutes of the previous sitting
1728,a step in the right direction for which the european parliament has been striving for a long time now is the creation of a provisional unit for judicial cooperation,The creation of a provisional judicial cooperation unit is a step in the right direction not to which the european parliament is aiming for a long time
1729,Slovakia has not been condemned to the second division and it is logical that it should like to join together with the czech republic,Slovakia is not to remain in the second group and it is logical that it wants to join the union at the same time that the czech republic
1730,in the last three weeks progress has been made in three major areas,in recent weeks three significant progress has been made
1731,When we are faced with a potential risk it is important to apply the precautionary principle,When we are faced with a potential risk it is important to put into practice the precautionary principle.
1732,We shall have to speak with just one disagreeable voice in the WTO.,We will speak with one voice grace within the WTO.
1733,We welcome the arrangements proposed in this respect by the Preparatory committee and adopted by the general assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the special session in september 2001.,We are pleased with proposed arrangements in this respect by the committee preparatory and decided by the general assembly with regard to the mode of accreditation of the governmental organizations with the preparatory process and the extraordinary session of september 2001.
1734,That is a shameful state of affairs when we consider that the of itself is a champion of modernised business practice,This is a disgrace when we think that the european union presents itself as the champion of the modernisation of economic life
1735,a think that france has set an excellent example by finally deciding to take this step,a find exemplary that france will be resolved to take this step
1736,(Applause),a have already answered on this point and a support completely what he has said on the necessity of improving the public debate and a will not go back on what a have said but it is true that all too often the citizens feel the decisions that are taken in the authorities that they do not know
1737,"On my own behalf and on behalf of my colleagues in the committee on fisheries a would ask you adam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both brittany and in Marín, alicia from where the majority of the victims came","Madam the president a ask you, in the name of my colleagues in the committee on fisheries and in my proper name to send a message of sympathy on behalf of the parliament to the families of the victims and to the local authorities both of Brittany and of Marín, town of alicia from where are originating the majority in the victims"
1738,Mr president we took a great deal of care over preparing the Karamanou report in the Committee on citizens freedoms and rights justice and some affairs,Mr president the Committee on citizens freedoms and rights justice and internal affairs has prepared with great care the Karamanou report
1739,This is also the position advocated by the rapporteur and it is shared by the european People' s party,This is the position defended by the rapporteur and shared by the european peoples party
1740,". (ES) or President, enlargement is essential for the construction of a strong and united european continent","- (ES) or President, enlargement is essential for the construction of a strong and unified european continent"
1741,Mr president I would like to focus in my speech on mrs Lalumière' s report which a think is clearly worded and well put together,"Mr president in my speech a shall focus on the report by mrs Lalumière, report that a think it is well thought-out and clearly formulated"
1742,Given this situation there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment,in view of these realities the need for greater involvement and greater efficiency in the fight against poverty and underdevelopment is essential
1743,"is a matter of urgency, therefore the staff complement of the Interdepartmental group attached to the commission secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied when considered by the college of commissioners and on the basis of article 299(2), by a simplified sheet outlining their potential impact","Thus, it is urgent that manpower of the interdepartmental group are very quickly reinforced with the cur of the general secretariat of the Commission, so that all the proposals of act of general scope can be accompanied during their examination by the college on basis of article 2993 paragraph , of a detailed impact statement"
1744,There is of course one crucial events namely that a start has been made with category four and with looking at ways how we will deal with it but it is not yet entirely clear whether we have managed to resolve this partly because the council refuses to have sufficient input in the attendant thought processes,There is of course a very important point is the fact that we have begun the heading four with its approach but we do not yet know very well if we managed to resolve the problem particularly because the council does not wish to participate enough food for thought
1745,"The french presidency thanks you, adam president ladies and gentlemen for this cooperation for your support and also for the warm reception you have given us.",For this cooperation for your support and also for your reception adam president ladies and gentlemen of the european parliament the French presidency thanks you
1746,"Firstly, simplification and clarification of the treaties","First, that of a simplification and clarification of the treaties"
1747,it must genuinely be a centre for coordinating the network of national agencies which in turn must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.,"it must be the real brains of coordination of the network of national agencies which, in turn will have to activate and coordinate a network of centres of excellence on food safety at regional level"
1748,"Mr Gayssot, Greek ships have sunk without warning when there were no storms in the vicinity","The greek ships have sunk, without there being the slightest storm in its neck of the woods or Gayssot."
1749,"B5-0794/2000, by or medina ortega or Linkohr and or naval on behalf of the group of the Party of European Socialists, on the kidnap in colombia of a spanish jesuit engaged in negotiations with the guerillas;",(B5-0794 / 2000 by or medina ortega Linkohr and Mr naval on behalf of the group of the party of European socialists on the abduction by colombia of a spanish Jesuit engaged in negotiations with the guerrilla movement
1750,is there is still a lot of uncertainty we must know what the scientific facts are and what action must be taken,"We need to know today since we are still in uncertainty, which are the scientific data, which are the measures to be taken."
1751,Given this situation there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment,Vis-a-vis these realities the need for a greater implication and a greater effectiveness in the fight against poverty and the underdevelopment is essential
1752,"Do you think that the austrian model, i.e. bilateral majority resolutions will be used in future as a way of passing resolutions which bypass the european institutions and of forming a new institution or a new group in order to circumvent unanimity in the council",Do you think that the austrian 'model' - the majority decisions to be taken in future bilateral - it will be an instrument to take decisions by ignoring the european institutions and to set up a new institutions or a new group in order to get round the unanimity rule in the council
1753,"Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the of as a whole basically depend - and denmark demonstrated this - on dismantling the social and democratic deficits of european policy",Thirdly: the positive acceptance of enlargement and its prospects for the various countries and the of as a whole largely depend - the example of denmark east there for us to show it - elimination on the social and democratic deficits for the european policy
1754,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who reject reinforced cooperation enjoy the same freedom of movement that passengers back the seat of a car
1755,The joint debate is closed,The joint debate is closed
1756,The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny,The right to a government of arbitrarily its constitution is the definition of a dictatorship
1757,"of we want to help Indonesia we must act now with money and deeds, not merely words","of we want to help Indonesia, we must intervene now with money and concrete action and not just with words"
1758,Question to 6 by (H-0886/00):,Question to 6 by oh 0886 / 0044
1759,". (ES) or President, enlargement is essential for the construction of a strong and united european continent",Mr president enlargement is essential for the construction of a european continent strong and united
1760,"The french presidency thanks you, adam president ladies and gentlemen for this cooperation for your support and also for the warm reception you have given us.",For this cooperation for your support and for your kind welcome adam president ladies and gentlemen the french presidency thank you
1761,This rule can be applied equally to all recreational but dangerous drugs when no one but the person consuming the drug is likely to be affected,This rule can also apply to all récréationnelles but dangerous drugs as far as the consumer of drugs is the only one to risks
1762,"of we want to help Indonesia we must act now with money and deeds, not merely words","of we want to help Indonesia, we now have to intervene with money and concrete actions and not only with words"
1763,"The house had also fought, however for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the inter-institutional agreement.","This parliament however also fought so that this reduction of the funds allocated with the innovative measures is compensated by the use of the framework of flexibilisation, defined in a declaration on the financial perspective"
1764,it beira the Council considered those countries participating in the stabilisation and association Process as potential applicants for membership of the European union,in beira he recognised the quality of potential candidates for accession to the countries participating in the stabilisation and association process
1765,The lesson for this parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right,The lesson which this parliament in her debate of this morning must retain is that we are forced to conclude that the maritime laws are all over the world in a state of disorder and that we must harness ourselves with the task to put order at it.
1766,approval of the minutes of the previous sitting,approval of the official report of the previous sitting
1767,"Thirdly, acceptance of enlargement and its positive prospects for the individual countries and for the of as a whole basically depend - and denmark demonstrated this - on dismantling the social and democratic deficits of european policy",Thirdly: the acceptance of enlargement and its positive prospects for the various countries and for the of as a whole depend a the example of denmark is there for us to show this - the elimination of social and democratic deficits of european policy
1768,"after all it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the member states are all perfectly satisfactory.",indeed there is absolutely no doubt that the definition of fair price that is proposed is better than another because the definitions used in the member states currently sufficient all amply.
1769,"is a matter of urgency, therefore the staff complement of the Interdepartmental group attached to the commission secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied when considered by the college of commissioners and on the basis of article 299(2), by a simplified sheet outlining their potential impact","Thus, it is imperative that the inter-services group are very quickly of the commission so that all the proposals to act can be, during their examination by the force on the basis of article 2993 paragraph , a detailed impact"
1770,the sitting was suspended at 2.06 p.m. and resumed at 3 p.m.,the sitting was suspended at 14506 and resumed at 3 p.m.
1771,"Finally, a welcome the idea that we should review the implementation of the programme annually",Finally a accomodate the idea favourably to give us an annual appointment in order to take stock of the setting in ure program
1772,it beira the Council considered those countries participating in the stabilisation and association Process as potential applicants for membership of the European union,in beira it has recognised the quality of potential candidates for accession to the countries participating in the stabilisation and association process
1773,Mr president ladies and gentlemen a should like to say a few words on the joint resolution which will of course be passed,Mr president ladies and gentlemen a would like to speak on the joint resolution that we will obviously vote.
1774,and a am telling you loud and clear Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months but meanwhile a do want the introduction of those two new budget lines democratisation and reconstruction to be accompanied by political conditions both from a political and budgetary perspective.,and a say it very clearly to you it is necessary to give its chance to Kostunica and a hope since it will take care of an amnesty during the weeks or of the months to come but meanwhile a wish however that on the political plan and the budgetary terms of the political conditions be coupled with the introduction of these two special budget headings namely democratization and the rebuilding
1775,We have started to exchange ideas on this question from which it has emerged that all the member States want to maintain this ceiling after enlargement,We started discussions on this issue which show that all the member states wish to maintaining this ceiling after enlargement
1776,Let us as a europe of 15 member states organise ourselves in order to be able to welcome those countries who are knocking at the door into the fold under respectable conditions,"We must organise ourselves in fifteen member States, to be able to welcome in good conditions for the countries which are knocking on our door"
1777,Thank you very much commissioner,Thank you very much sister the police chief
1778,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who deny the enhanced cooperation enjoy the same freedom of movement as passengers in the back seat of a car
1779,The european council will also discuss the state of progress of the accession negotiations and hence of the enlargement,"The european council will also be discussing the state of progress of accession negotiations, and therefore of enlargement"
1780,Mr president the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 october to employees of the commission to tell them how to deal with requests from MEPs for access to documents.,Mr president we know the position of the commission on public access to documents in reading the internal manual which was submitted on 11 october the commissions officials in order to explain the way in which they were to deal with the requests from the members regarding access to documents.
